0 40.0972
1 39.8959
2 39.9858
3 38.3398
4 39.3596
5 40.8862
6 39.6219
7 38.8191
8 40.8897
9 40.9786
10 42.7713
11 42.223
12 41.3067
13 41.6805
14 42.0803
15 42.828
16 44.9051
17 45.4733
18 44.4407
19 44.9576
20 44.8134
21 46.7679
22 46.2485
23 48.1165
24 48.2043
25 48.37
26 51.9259
27 52.8053
28 53.155
29 52.4395
30 55.1185
31 59.5851
32 57.0564
33 62.6725
34 62.8416
35 63.6643
36 65.9803
37 69.1492
38 70.3998
39 73.0525
40 76.0234
41 78.6112
42 80.6051
43 82.5678
44 87.2019
45 87.9457
46 93.0635
47 96.1332
48 99.8615
49 104.354
50 109.849
51 111.942
52 117.939
53 125.315
54 128.918
55 135.751
56 139.2
57 145.954
58 154.383
59 162.005
60 168.476
61 178.579
62 189.321
63 199.582
64 209.904
65 219.934
66 230.448
67 243.557
68 256.436
69 272.888
70 289.317
71 304.251
72 322.157
73 340.997
74 362.411
75 382.225
76 406.904
77 430.745
78 456.568
79 484.305
80 514.695
81 547.269
82 582.134
83 615.392
84 656.277
85 699.388
86 740.826
87 791.428
88 839.542
89 893.104
