90 823.9 0.5 2.16
88 739.7 0.5 1.41
86 702.2 0.5 0.97
84 562.0 0.5 1.18
82 531.2 0.5 1.16
80 459.3 0.5 1.1
78 424.7 0.5 0.9
76 0.1 0.5 0.3
74 320.8 0.5 0.4
72 0.0 0.5 0.0
70 267.7 0.5 0.64
68 211.2 0.5 0.4
66 205.2 0.5 0.74
64 156.6 0.5 0.8
62 165.1 0.5 0.3
60 146.0 0.5 0.44
58 0.0 0.5 0.0
56 59.2 0.5 0.6
54 115.3 0.5 0.45
52 106.1 0.5 0.53
50 91.3 0.5 0.64
48 94.9 0.5 0.53
46 0.5 0.5 0.5
44 0.0 0.5 0.0
42 85.4 0.5 0.91
40 73.09 0.5 0.53
38 60.6 0.5 0.48
36 31.6 0.5 0.48
34 61.3 0.5 0.64
32 64.3 0.5 0.45
30 0.0 0.5 0.0
28 0.0 0.5 0.0
26 0.0 0.5 0.0
24 59.2 0.5 0.4
22 50.5 0.5 0.67
20 0.0 0.5 0.0
18 57.3 0.5 0.45
16 56.1 0.5 0.3
