83	0.6156	0.5	0.0101
81	0.5585	0.5	0.0096
79	0.5229	0.5	0.0093
77	0.4591	0.5	0.0089
75	0.4072	0.5	0.0085
73	0.3583	0.5	0.0081
71	0.3219	0.5	0.0078
69	0.2811	0.5	0.0074
67	0.2552	0.5	0.0073
65	0.2262	0.5	0.0070
63	0.2018	0.5	0.0068
61	0.1758	0.5	0.0066
59	0.1535	0.5	0.0065
57	0.1394	0.5	0.0063
55	0.1276	0.5	0.0062
53	0.1179	0.5	0.0062
51	0.1068	0.5	0.0061
49	0.0957	0.5	0.0059
47	0.0883	0.5	0.0059
45	0.0816	0.5	0.0059
43	0.0764	0.5	0.0058
41	0.0712	0.5	0.0058
39	0.0682	0.5	0.0057
37	0.0653	0.5	0.0057
35	0.0638	0.5	0.0057
33	0.0608	0.5	0.0057
31	0.0571	0.5	0.0056
29	0.0541	0.5	0.0056
27	0.0512	0.5	0.0056
25	0.0482	0.5	0.0056
23	0.0475	0.5	0.0056
21	0.0467	0.5	0.0056
19	0.0467	0.5	0.0056
17	0.0452	0.5	0.0056
15	0.0438	0.5	0.0056
13	0.0430	0.5	0.0056
11	0.0430	0.5	0.0056
9	0.0430	0.5	0.0056
