0 36.3828
1 37.1528
2 37.4593
3 37.7425
4 37.6757
5 37.3388
6 37.0862
7 37.3151
8 38.1096
9 38.5741
10 37.8003
11 38.6283
12 38.5987
13 40.9268
14 41.032
15 38.534
16 38.9404
17 39.9202
18 38.3303
19 38.2055
20 38.0988
21 37.7459
22 39.2603
23 36.9355
24 35.6272
25 37.7586
26 36.2871
27 34.4366
28 34.247
29 33.292
30 33.7119
31 32.8899
32 32.4368
33 31.1938
34 31.0236
35 30.2855
36 29.7935
37 29.5929
38 29.5224
39 26.9197
40 27.9933
41 24.803
42 24.0108
43 22.5027
44 23.1151
45 23.141
46 20.5789
47 20.0631
48 20.119
49 17.5918
50 17.3124
51 15.5676
52 13.5073
53 13.0061
54 11.3495
55 9.00532
56 9.99848
57 7.39518
58 7.20362
59 7.1095
60 5.03632
61 3.93311
62 1.76612
63 2.12673
64 2.11038
65 0.187946
66 1.99181
67 -0.0151177
68 -1.21281
69 -0.403769
70 -0.0471905
71 -1.71573
72 3.83187
73 2.60333
74 4.07154
75 6.03106
76 8.23786
77 12.6847
78 15.5027
79 21.2589
80 26.719
81 33.198
82 41.2728
83 48.1222
84 61.0001
85 70.6231
86 83.0023
87 101.533
88 117.486
89 139.078
