90 934.2 0.5 2.67
88 708.5 0.5 2.33
86 518.9 0.5 1.81
84 399.1 0.5 0.94
82 278.3 0.5 1.0
80 194.1 0.5 0.7
78 134.5 0.5 0.5
76 76.5 0.5 0.5
74 50.1 0.5 0.3
72 20.5 0.5 0.5
70 12.0 0.5 0.0
68 2.2 0.5 0.4
66 0.0 0.5 0.0
64 0.0 0.5 0.0
62 2.29 0.5 0.45
60 6.3 0.5 0.45
58 8.1 0.5 0.3
56 18.1 0.5 0.3
54 22.2 0.5 0.4
52 28.5 0.5 0.5
50 33.1 0.5 0.53
48 40.9 0.5 0.3
46 45.7 0.5 0.45
44 51.2 0.5 0.4
42 53.6 0.5 0.48
40 58.9 0.5 0.3
38 64.8 0.5 0.4
36 66.9 0.5 0.3
34 42.9 0.5 0.3
32 64.7 0.5 0.45
30 69.9 0.5 0.3
28 77.0 0.5 0.44
26 79.5 0.5 0.8
24 82.9 0.5 0.53
22 0.0 0.5 0.0
20 67.09 0.5 0.3
18 83.6 0.5 0.91
16 73.8 0.5 0.4
14 86.5 0.5 0.5
