83  934.2  0.5  14.5
81  708.5  0.5  12.7
79  518.9  0.5  11.2
77  399.1  0.5  10.2
75  278.3  0.5  9.2
73  194.1  0.5  8.6
71  134.5  0.5  8.1
69  76.5   0.5  7.6
67  50.1   0.5  7.4
65  20.5   0.5  7.2
63  12     0.5  7.1
61  2.2    0.5  7.0
59  0      0.5  7.0
57  0      0.5  7.0
55  2.29   0.5  7.0
53  6.3    0.5  7.1
51  8.1    0.5  7.1
49  18.1   0.5  7.1
47  22.2   0.5  7.2
45  28.5   0.5  7.2
43  33.1   0.5  7.3
41  40.9   0.5  7.3
39  45.7   0.5  7.4
37  51.2   0.5  7.4
35  53.6   0.5  7.4
33  58.9   0.5  7.5
31  64.8   0.5  7.5
29  70     0.5  7.6
27  72     0.5  7.6
25  74     0.5  7.6
23  76     0.5  7.6
21  79     0.5  7.6
19  81     0.5  7.6
17  85     0.5  7.7
15  86     0.5  7.7
13  85     0.5  7.7
11  87     0.5  7.7
09  90     0.5  7.7
