83	0.3661	0.5	0.0057
81	0.2777	0.5	0.0050
79	0.2034	0.5	0.0044
77	0.1564	0.5	0.0040
75	0.1091	0.5	0.0036
73	0.0761	0.5	0.0034
71	0.0527	0.5	0.0032
69	0.0300	0.5	0.0030
67	0.0196	0.5	0.0029
65	0.0080	0.5	0.0028
63	0.0047	0.5	0.0028
61	0.0009	0.5	0.0027
59	0.0000	0.5	0.0027
57	0.0000	0.5	0.0027
55	0.0009	0.5	0.0027
53	0.0025	0.5	0.0028
51	0.0032	0.5	0.0028
49	0.0071	0.5	0.0028
47	0.0087	0.5	0.0028
45	0.0112	0.5	0.0028
43	0.0130	0.5	0.0029
41	0.0160	0.5	0.0029
39	0.0179	0.5	0.0029
37	0.0201	0.5	0.0029
35	0.0210	0.5	0.0029
33	0.0231	0.5	0.0029
31	0.0254	0.5	0.0029
29	0.0274	0.5	0.0030
27	0.0282	0.5	0.0030
25	0.0290	0.5	0.0030
23	0.0298	0.5	0.0030
21	0.0310	0.5	0.0030
19	0.0317	0.5	0.0030
17	0.0333	0.5	0.0030
15	0.0337	0.5	0.0030
13	0.0333	0.5	0.0030
11	0.0341	0.5	0.0030
9	0.0353	0.5	0.0030
